date;turbin_id;energie_kWh;arret_planifie;arret_non_planifie
2025-10-01;T001;31591.39642471025;0.0;0.0
2025-10-01;T002;29266.97663095285;0.0;0.0
2025-10-02;T001;27779.854393631304;0.0;0.0
2025-10-02;T002;16195.590209718917;0.0;0.0
2025-10-03;T001;29970.825009376484;;0.0
2025-10-03;T002;6578.075967117371;0.0;0.0
2025-10-04;T001;29397.69945752137;0.0;0.0
2025-10-04;T002;28840.433159842847;0.0;0.0
2025-10-05;T001;31715.365808455732;0.0;0.0
2025-10-05;T002;18602.79947098298;0.0;0.0
2025-10-06;T001;35831.975037263765;0.0;0.0
2025-10-06;T002;26883.280068602147;0.0;0.0
2025-10-07;T001;16911.357349978083;0.0;0.0
2025-10-07;T002;26871.73213682457;0.0;0.0
2025-10-08;T001;22659.405960040363;0.0;0.0
2025-10-08;T002;24757.347234088866;0.0;0.0
2025-10-09;T001;26753.26933410041;0.0;0.0
2025-10-09;T002;15357.302828254762;0.0;0.0
2025-10-10;T001;36468.49854099148;0.0;0.0
2025-10-10;T002;25346.533654614894;0.0;0.0
2025-10-11;T001;22960.622902370844;0.0;0.0
2025-10-11;T002;9744.418773752055;0.0;0.0
2025-10-12;T001;0.0;0.0;1.0
2025-10-12;T002;23992.648367252947;0.0;0.0
2025-10-13;T001;27562.37414768703;0.0;0.0
2025-10-13;T002;16387.39497279434;0.0;0.0
2025-10-14;T001;34397.46663638858;0.0;0.0
2025-10-14;T002;23659.312448008433;0.0;0.0
2025-10-15;T001;34444.97849902257;0.0;0.0
2025-10-15;T002;28256.824911304702;0.0;0.0
2025-10-16;T001;0.0;1.0;0.0
2025-10-16;T002;35721.1879520028;0.0;0.0
2025-10-17;T001;24888.834688827803;0.0;0.0
2025-10-17;T002;32969.28834525175;0.0;0.0
2025-10-18;T001;30541.106862262157;0.0;0.0
2025-10-18;T002;29251.056984433242;0.0;0.0
2025-10-19;T001;13542.513321700228;0.0;0.0
2025-10-19;T002;25387.596506821184;0.0;0.0
2025-10-20;T001;25891.954252077314;0.0;
2025-10-20;T002;28821.646377449666;;0.0
2025-10-21;T001;15418.747713057657;0.0;0.0
2025-10-21;T002;21966.588158584647;0.0;0.0
2025-10-22;T001;27369.09434156761;0.0;0.0
2025-10-22;T002;29126.493265568894;0.0;0.0
2025-10-23;T001;24742.328117209763;0.0;0.0
2025-10-23;T002;32099.347835604254;0.0;0.0
2025-10-24;T001;40409.16358791492;0.0;0.0
2025-10-24;T002;21399.41891795837;0.0;0.0
2025-10-25;T001;26446.867472309797;0.0;0.0
2025-10-25;T002;10218.282205254074;;0.0
2025-10-26;T001;22534.583174103525;0.0;0.0
2025-10-26;T002;28312.963465441026;0.0;
2025-10-27;T001;22924.72750724623;0.0;0.0
2025-10-27;T002;20113.522128678214;0.0;0.0
2025-10-28;T001;30568.15558290893;0.0;0.0
2025-10-28;T002;21552.842588130963;0.0;0.0
2025-10-29;T001;12845.88338132779;0.0;0.0
2025-10-29;T002;29091.041793748733;0.0;0.0
2025-10-30;T001;46456.37212555865;0.0;0.0
2025-10-30;T002;0.0;1.0;0.0
2025-10-31;T001;0.0;1.0;0.0
2025-10-31;T002;31874.33903166659;0.0;0.0
